Overall	Text
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
0	new cover idea for elements of data science. (the cover wraps, so the left half is the back and the right half is the front) what do we think?
2	if you want to learn more about what i do at and how we think about data science, see our new blog post! if it sounds interesting, we’re hiring!
0	i think the novelty effect wore off years ago. now sentiment-analysis-on-tweets is homework in beginner data science curriculum, just after intro-to-pandas
1	very excited to see at data architecture is more important than ever and it will be exciting to hear how to think about it for modern challenges including data science, massive unstructured datasets, and cloud environments.
1	indeed. i think this is true for the process of science as a whole (and what it's what i like about it). in data science the iterations just come at a faster rate compared to other fields.
0	i’ll go off on one on this. i think our exploratory and interactive data science indirectly gives us the answers we want by iteratively refining and changing our questions of the data. we don’t really know what we want when we start.
-1	finding relevant data from such a huge data set is a challenge even for a trained statistician or data scientist. if some journalists think they can easily come out with statistics, govt and big it should be shutting down all data science departments. n/n
-1	understandable. but i do think there’s a difference between ignoring data/science and ignoring bureaucratic “experts�?. unfortunately, those very experts ignore the data and science themselves for political reasons. eg, the cdc summer camp guidances and school openings.
0	i think part of the problem is that computational biology /bioinformatics has no academic home. it was chopped up between biology, computer science, stats, applied math, physics or even more recently stats -&gt; data science ! without dept of comp biol, it lacks identity.
-1	yea i understand a lot of data science don't feel the benefits by learning more comp sci. i reject this because what i end up seeing a lot are folks who see everything as tables, who write inefficient algos to retrieve data, use memory and don't really think about concurrency...
-2	so why do data scientists think that stats is dead? where does the notion that there is no longer any need for statistical analysis come from? and are they right?
-2	why do data scientists think that stats is dead?
0	i think py caret is going to be the next sk learn for ml and data science in python.
1	very excited to see at data architecture is more important than ever and it will be exciting to hear how to think about it for modern challenges including data science, massive unstructured datasets, and cloud environments.
1	very excited to see at data architecture is more important than ever and it will be exciting to hear how to think about it for modern challenges including data science, massive unstructured datasets, and cloud environments.
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
0	of course. there are so many woke think tanks on the left, you can be sure everything that comes out of a dem's mouth or a journalist's keyboard is the result of woke partisan data science.
1	probably unpopular opinion, but i think it’s great. basic stats and data science is probably more broadly relevant than calculus these days. plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :)
1	you are intellectual by the way you look and think about things. the way you deal with stuff and being smart about your ideology. this is how to be a proper intellectual. to show people that you are intellectual, just read up on things that are in. for example: data science....
1	and frankly — in many many cases, the math is simpler than people are willing to admit. people want to position their value-add as automagic "data-science" because they think it sounds good. 🤷�?♀�?
0	easy path. on this path, you will get lots of practical skills but only an intuitive sense of the theory. i think the easiest way to start is to read a good data science book and get your hands dirty. i like to recommend "r for data science" for that.
1	think like a data scientist: tackle the data science process step-by-step data science
1	/n i think you can improve majoring in econ with a second major in something like statistics (get data science too) or psychology (double down on marketing. you can also do econ/cs if you’re really ambitious.
1	great point. we thought it was hunger games for the first dose? imagine this non data/ science gov rolling out second doses when they think “ah people are % protected, just send shit wherever�?
2	now that grasshopper is running on the web, i'd love to see someone take this interface and apply it to domains outside architecture. it's such a fun way to code. i think fields like data-science could really benefit from a more friendly on-ramp.
2	now that grasshopper is running on the web, i'd love to see someone take this interface and apply it to domains outside architecture. it's such a fun way to code. i think fields like data-science could really benefit from a more friendly on-ramp.
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
0	'don’t let anybody else impose on you what they think you’re capable of and what’s the best looking life and career for you.' this week's jazz shaper guest is co-founder of data science company
0	easy path. on this path, you will get lots of practical skills but only an intuitive sense of the theory. i think the easiest way to start is to read a good data science book and get your hands dirty. i like to recommend "r for data science" for that.
2	if you want to learn more about what i do at and how we think about data science, see our new blog post! if it sounds interesting, we’re hiring!
-1	there are many doctors and scientists not in charge of co vid in bc, too. why do you assume "thousands of social media people" are not scientifically literate enough to parse data? science isn't based on what you "think", it's based on data. that they've been hiding.
0	whenever i try to picture what an accurate movie star hacker would look like today, all i can think of is a data science engineer that got bored with too much free time thinking_face
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
0	just quit my job to focus on trading and data science. low key feeling some pressure but i think this is the best risk i'll take my whole life.
1	you can prob tell that i’m bullish on experimentation. truthfully, i think experimentation is the clearest path to roi for data science teams. however, increasing experiment velocity while maintaining rigor is hard. great read from on the challenge and opportunity.
2	if you want to learn more about what i do at and how we think about data science, see our new blog post! if it sounds interesting, we’re hiring!
0	the pandemic exposed the need to think about tomorrow’s supply chains. how do we create resiliency and agility in the digital age? i love this explanation from cto, who says the answer lies with data science and digital twins
2	if you want to learn more about what i do at and how we think about data science, see our new blog post! if it sounds interesting, we’re hiring!
2	if you want to learn more about what i do at and how we think about data science, see our new blog post! if it sounds interesting, we’re hiring!
2	a full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. so i think it's worth celebrating the wins where we get them. that being said, happy to announce i'll soon be joining the data science team at
-2	this hurts to say as a data science person, but i think lands is a net negative for limited *on its own terms*. many have argued that it’s bad b/c players use the data wrong, but i think it’ll be worse once the formulas are ironed out and people use the data correctly.
2	a full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. so i think it's worth celebrating the wins where we get them. that being said, happy to announce i'll soon be joining the data science team at
0	easy path. on this path, you will get lots of practical skills but only an intuitive sense of the theory. i think the easiest way to start is to read a good data science book and get your hands dirty. i like to recommend "r for data science" for that.
0	easy path. on this path, you will get lots of practical skills but only an intuitive sense of the theory. i think the easiest way to start is to read a good data science book and get your hands dirty. i like to recommend "r for data science" for that.
0	easy path. on this path, you will get lots of practical skills but only an intuitive sense of the theory. i think the easiest way to start is to read a good data science book and get your hands dirty. i like to recommend "r for data science" for that.
-1	many people are concerned but i personally think it's great. it gives people highly marketable work experience in data science. it reduces the share who enter a phd and realize after years of class work that they hate the research part. and unlike an ma, it's paid.
0	easy path. on this path, you will get lots of practical skills but only an intuitive sense of the theory. i think the easiest way to start is to read a good data science book and get your hands dirty. i like to recommend "r for data science" for that.
2	a full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. so i think it's worth celebrating the wins where we get them. that being said, happy to announce i'll soon be joining the data science team at
2	a full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. so i think it's worth celebrating the wins where we get them. that being said, happy to announce i'll soon be joining the data science team at
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
2	a full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. so i think it's worth celebrating the wins where we get them. that being said, happy to announce i'll soon be joining the data science team at
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
2	a full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. so i think it's worth celebrating the wins where we get them. that being said, happy to announce i'll soon be joining the data science team at
0	according to the ads i’m seeing, twitter thinks i should get a masters in data science and download apps to buy dogecoin. i’m not even kidding. i think i’ve finally officially made it to tech twitter, guys.
1	probably unpopular opinion, but i think it’s great. basic stats and data science is probably more broadly relevant than calculus these days. plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :)
2	a full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. so i think it's worth celebrating the wins where we get them. that being said, happy to announce i'll soon be joining the data science team at
2	a full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. so i think it's worth celebrating the wins where we get them. that being said, happy to announce i'll soon be joining the data science team at
0	i think 'data science and renewable energy' is an undiscovered gold mine. analyzing cost, expenditure, gaseous emission and revenue generation. data correlation and for casting using pictorial/chart representation being 'technically' sound. stem full package
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
-2	this hurts to say as a data science person, but i think lands is a net negative for limited *on its own terms*. many have argued that it’s bad b/c players use the data wrong, but i think it’ll be worse once the formulas are ironed out and people use the data correctly.
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
2	respected sir, i am one of your student from trinity bhopal current pursuing phd in data science (cse). sir i think we need a political reforms so we could insure the accountability, confidentiality and authorization of system.
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
1	librarians who support data science: what information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? both while they are in their program but also after they graduate?
-2	the problem is that we often times don't understand the underlying biological process, or worse, we think we know and we don't. i do think that feature engineering in biological data science is really inescapable and that requires, to some degree, a theory of the data generation.
0	easy path. on this path, you will get lots of practical skills but only an intuitive sense of the theory. i think the easiest way to start is to read a good data science book and get your hands dirty. i like to recommend "r for data science" for that.
0	easy path. on this path, you will get lots of practical skills but only an intuitive sense of the theory. i think the easiest way to start is to read a good data science book and get your hands dirty. i like to recommend "r for data science" for that.
0	i've now spoken to multiple college students who studied cs/eng and are trying to decide between software engineering and data science. i think people know swe work is highly valued by industry, but data work might be more interesting as a career, hence the dilemma thinking_face
2	it is thicker than your rest of the books i have. i think beginning data science with r is thicker. love your writing and it is strange that i like r and c programming both. will definitely buy this.
-4	yes i’ve seen him call out a few things. i think they could be working in tandem with and calling out the government to provide the data/science behind these devastating lockdowns.
-1	what you think you’ll be asked to do at work after a data science degree: “build a model with this data to predict x�? reality... them: “i want our department to use ml�? ds: “is there a particular problem &amp; dataset?�? them: “you’re the expert. find out�? (/)
-1	what you think you’ll be asked to do at work after a data science degree: “build a model with this data to predict x�? reality... them: “i want our department to use ml�? ds: “is there a particular problem &amp; dataset?�? them: “you’re the expert. find out�? (/)
1	cool. may be this summer i’ll do some investigating. i don’t think there’s any reason high why high school students with a little bit of math background couldn’t do the data science course i currently teach at mac, esp. if it were taught over a whole year.
2	i’d love to see some effort at this in mn. in spps, no high schools appear to offer data science. i think a great place to start would be at high schools that do not offer calc. if you have ideas about who to talk to, i’d love to start.
2	personally, i think so. he’s elevates the performance of every player. he’s managed to form a balanced xi despite not having a dm or rw. he’s shored up the defense significantly. he’s made advances in the academy, data science, health depts. all around positive.
0	i think if "becoming competent" is someone's limiting factor then it's a losing battle. - months of disciplined practice and training can get you pretty good at most digital skills, from video editing to data science.
1	i think the whole field is super squishy on a definition for data science. as a professional society leader, i’ve been pushing for us to have some good cross-sector convos about this. i don’t want this to be another math-compsci debacle.
0	the pandemic exposed the need to think about tomorrow’s supply chains. how do we create resiliency and agility in the digital age? i love this explanation from cto, who says the answer lies with data science and digital twins
2	finally!! i once tried to make a spreadsheet of your narration in the videos to count funny things you say but it took too long!! (also i stopped after videos i think)as a data science student i’d love to analyze them one day ☺�?
1	stats is definitely more useful than i used to think when i started my university journey. now the question is: - how much stats can you learn without calculus? - what do we add to stats to make it data science? are we implicitly including some compsci / coding there, or ???
-3	i don't think it's a stretch to say that if statistics and data science were presented as the end goals to me instead of needing to do calculus (which i failed, miserably), my life would look very, very different right now.
0	artificial intelligence (ai), and data science, have become the two most important sought-after technologies in today’s world. many people think that both are the same, but they are not. let’s dive deeper into terms you need to know. read:
1	probably unpopular opinion, but i think it’s great. basic stats and data science is probably more broadly relevant than calculus these days. plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :)
1	i have given "what is data science?" talks to high schoolers, and they're fascinated by it. i think giving them a taste of what you can do with statistics and data (and what kind of careers require that background) will motivate them to go further with math in college.
1	probably unpopular opinion, but i think it’s great. basic stats and data science is probably more broadly relevant than calculus these days. plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :)
0	i see. yeah that might turn out problematic for some. still i think stats and data science will be more useful to most. i have to admit that i have no idea how the us school system works but it seems that offering calculus classes for those who are interested might be good
0	sure, calculus is important, too, but probably more later in life. personally, i paid zero attention to calculus in school because it was just so boring and i couldn’t see why it’s useful. i think with data science, it’s easier to keep students engaged. /
1	probably unpopular opinion, but i think it’s great. basic stats and data science is probably more broadly relevant than calculus these days. plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :)
1	probably unpopular opinion, but i think it’s great. basic stats and data science is probably more broadly relevant than calculus these days. plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :)
0	artificial intelligence (ai), and data science, have become the two most important sought-after technologies in today’s world. many people think that both are the same, but they are not. let’s dive deeper into terms you need to know. read:
0	sure, calculus is important, too, but probably more later in life. personally, i paid zero attention to calculus in school because it was just so boring and i couldn’t see why it’s useful. i think with data science, it’s easier to keep students engaged. /
0	the pandemic exposed the need to think about tomorrow’s supply chains. how do we create resiliency and agility in the digital age? i love this explanation from cto, who says the answer lies with data science and digital twins
0	ncdsmemberspotlight: “data science is integrated in subject matter and research programs across all nc state colleges and is part of our think and do mindset. at we believe data science is for everyone.�?
0	according to the ads i’m seeing, twitter thinks i should get a masters in data science and download apps to buy dogecoin. i’m not even kidding. i think i’ve finally officially made it to tech twitter, guys.
0	according to the ads i’m seeing, twitter thinks i should get a masters in data science and download apps to buy dogecoin. i’m not even kidding. i think i’ve finally officially made it to tech twitter, guys.
-1	i think is trying to appeal to both the data science supporters and the voting fraud deniers. failing at both.
2	personally i think shifting to do more data analysis and a little data science is a really good thing, as are increasing pathways and broadening our understanding of what math is. however i want to make sure all ss have the foundations they need to succeed in college. precalc?
2	you think china doesn’t have reserve “intellectual capacity�?? you should peek your head into the data science orgs of every large company and ask where their employees were born. the us will win because of democracy and free trade. not because people on our soil are superior
1	i think course is probably one of the nicest resources to jump right in -
1	i think course is probably one of the nicest resources to jump right in -
1	i think course is probably one of the nicest resources to jump right in -
0	i think she should explore data science /visualization. it might tickle her fancy. it tickled mine and i studied finance.
0	that looks highly interesting! unstructured and/or poorly collected, managed, and recorded data is the bane of my existence. i’ve gotten quite good at parsing excel sheets with multiple tables and missing link information, but man is it tedious. i think data science is a must!
0	really careful data science doesn't just uncover patterns, it aims to ensure that the reason you *think* the pattern is occurring is actually the reason it is occurring. the history of science is riddled with examples of how this isn't always the case.
1	great talk with re: invisible labor in data science. a solid reminder to ritual ize how you build your narrative/story (i.e., brag doc, weekly snippets). people often under communicate tasks they think aren't fancy. csv conf
2	i think you folks rock - i really appreciate the work you are doing and as a data science engineering person i have to think that there are people using your work to help make decisions. it’s really good analysis and work ryan !
1	i will be more than happy to discuss this matter in depth. i do believe i can offer some ideas; based on my learning experience in the domain. as a data science graduate, i want to see more professionals in the domain and i think this program could be so much better.
1	great talk with re: invisible labor in data science. a solid reminder to ritual ize how you build your narrative/story (i.e., brag doc, weekly snippets). people often under communicate tasks they think aren't fancy. csv conf
1	great talk with re: invisible labor in data science. a solid reminder to ritual ize how you build your narrative/story (i.e., brag doc, weekly snippets). people often under communicate tasks they think aren't fancy. csv conf
2	and come to think of it, putting up a bunch of summary stats on tableau and filling it in with pretty logos isn't data science either
0	do you think this is data science?
0	no-code data science is easier than you think. learn how to start building models in minutes at our -day conference — completely free.
2	so big big news. i got accepted to study my master's degree in data science in australia!!!!!! now i gotta find some sponsors to help me out with fees and all that stuff. tonight we have a celebratory stream! i can't believe it!
2	so big big news. i got accepted to study my master's degree in data science in australia!!!!!! now i gotta find some sponsors to help me out with fees and all that stuff. tonight we have a celebratory stream! i can't believe it!
