,features,importance,select_tree,rank_rfecv,selected_rfecv,corr
64, Working Capital/Equity,0.01341762709371122,False,16,False,0.12160190758731669
67, Retained Earnings to Total Assets,0.0037435961947638085,True,17,False,0.22953326090213505
63, Current Liabilities/Liability,0.011742519920090006,False,18,False,0.025986321667959715
14, Tax rate (A),0.0,False,19,False,0.15804440621357357
69, Total expense/Assets,0.0,True,20,False,0.08192382369789691
16, Net Value Per Share (A),0.002625482543339994,True,21,False,0.20540622221955593
87, No-credit Interval,0.0,True,22,False,0.11174573477618316
12, Cash flow rate,0.011351959618295769,False,23,False,0.1446600083736965
35, Total debt/Total net worth,0.0,True,24,False,0.21932314331658065
9, Continuous interest rate (after tax),0.0,False,25,False,0.22762082684058002
77, Current Liability to Equity,0.022268600510686524,False,26,False,0.18264423790210155
79, Cash Flow to Total Assets,0.019072070675263408,False,27,False,0.0885040217157504
19, Cash Flow Per Share,0.0,False,28,False,0.13026166681684034
60, Operating Funds to Liability,0.005871259960045003,False,29,False,0.14500467886795962
66, Long-term Liability to Current Assets,0.013210334910101257,False,30,False,0.0921466365430544
80, Cash Flow to Liability,0.0,False,31,False,0.07919974736078206
54, Quick Assets/Total Assets,0.0,True,32,False,0.08617373694323319
23, Realized Sales Gross Profit Growth Rate,0.016352546259088302,True,33,False,0.09142394602591426
41, Operating profit/Paid-in capital,0.018899865395192488,False,34,False,0.19186419808295105
81, CFO to Assets,0.01653738222079342,False,35,False,0.12920410855226297
44, Total Asset Turnover,0.0,False,36,False,0.09000539792352803
25, After-tax Net Profit Growth Rate,0.0,True,37,False,0.1241153863340036
84, Liability-Assets Flag,0.0,False,38,False,0.13921155938203317
21, Operating Profit Per Share (Yuan ¥),0.014008250714045625,False,39,False,0.19198091725107722
59, Current Liability to Assets,0.005218897742262224,False,40,False,0.16838889893999193
40, Contingent liabilities/Net worth,0.0,False,41,False,0.031213013591223752
18, Persistent EPS in the Last Four Seasons,0.0,False,42,False,0.23820865010931322
20, Revenue Per Share (Yuan ¥),0.0,False,43,False,0.07493761311133106
36, Debt ratio %,0.0,True,44,False,0.21723698246024634
43, Inventory and accounts receivable/Net value,0.01409102390410801,True,45,False,0.08728154125008804
74, Cash Flow to Sales,0.0,False,46,False,0.09336443837172625
51, Operating profit per person,0.0,True,47,False,0.1741958874498982
38, Long-term fund suitability ratio (A),0.0,False,48,False,0.12091867540698051
33, Quick Ratio,0.0,False,49,False,0.20193728574456743
26, Regular Net Profit Growth Rate,0.0,False,50,False,0.12218542818594796
27, Continuous Net Profit Growth Rate,0.0,True,51,False,0.12508426531961667
85, Net Income to Total Assets,0.006710011382908576,True,52,False,0.2343160997766484
68, Total income/Total expense,0.006262677290714669,False,53,False,0.22456364508638318
28, Total Asset Growth Rate,0.0,True,54,False,0.08578727867985797
46, Average Collection Days,0.009394015936072007,False,55,False,0.026373494854442684
72, Working capitcal Turnover Rate,0.0,True,56,False,0.13496383720747515
22, Per Share Net profit before tax (Yuan ¥),0.01213393725075967,True,57,False,0.2324416654919353
70, Current Asset Turnover Rate,0.007144396330328443,False,58,False,0.04829364537088565
75, Fixed Assets to Assets,0.012939833627303955,False,59,False,0.05856679803060871
49, Net Worth Turnover Rate (times),0.0,False,60,False,0.009795746517933492
57, Quick Assets/Current Liability,0.0,False,61,False,0.1891890199762439
76, Current Liability to Liability,0.011263711722606998,False,62,False,0.025986321667959715
93, Net Income Flag,0.0,False,63,False,
94, Equity to Liability,0.023379251372431444,True,64,False,0.2172350744484432
7, After-tax net Interest Rate,0.0,False,65,False,0.2203076460955017
6, Pre-tax net Interest Rate,0.0,True,66,False,0.2196937642374554
5, Operating Profit Rate,0.0,True,67,False,0.18339242559991634
82, Cash Flow to Equity,0.0,False,68,False,0.09044936890959779
4, Realized Sales Gross Margin,0.02341387305278552,True,69,False,0.1465634129327199
3, Operating Gross Margin,0.0,False,70,False,0.14764844779356473
2, ROA(B) before interest and depreciation after tax,0.0,False,71,False,0.22416292877648558
48, Fixed Assets Turnover Frequency,0.0,True,72,False,0.047546149888942436
32, Current Ratio,0.0,False,73,False,0.1896443693222131
1, ROA(A) before interest and % after tax,0.0,False,74,False,0.2224104756145884
0, ROA(C) before interest and depreciation before interest,0.008928675649401146,False,75,False,0.22358889018381145
