"Vino","Denominazione","Colore","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Fiano","Sannio Guardia Sanframondi","Bianco","Aia dei Colombi","Esplosiva mineralità, struttura dolce ma piena accompagnata da una estrema piacevole freschezza. Da cogliere la complessità con cui il calice si mostra al naso, dove si esprime con delicate note fruttate e piacevoli incursioni di acacia e nocciola","100% Fiano","13-13,5%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","http://www.lucianopignataro.it",
"Colle dell'Aia","Sannio Guardia Sanframondi","Rosso","Aia dei Colombi","Fermo e Secco, di colore rosso rubino. Al naso una nota fruttata generosa ma non stucchevole in un corredo di tabacco e foglie secche.","100% Aglianico","14,5-15%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","http://www.lucianopignataro.it; http://www.quattrocalici.it",
"Vignasuprema","Falanghina del Sannio Guardia Sanframondi","Bianco","Aia dei Colombi","Di colore giallo paglierino intenso. Notevole è la consistenza. Intenso e complesso al naso, avvolgente e fine, con sentori agrumati e di frutta matura a polpa gialla e bianca. In bocca, intenso e caldo; ottima morbidezza bilanciata dall’acidità, piacevoli sensazioni sapide e finale di nocciola tostata. Abbastanza persistente, ottima la rispondenza gusto-olfattiva. Abbastanza armonico ed equilibrato.","100% Falanghina","14-14,5%","D.O.C.","Contrada Sapienze","Guardia Sanframondi","Benevento","41.238151, 14.596746","http://www.aiadeicolombi.it/","0824 817139","http://www.lucianopignataro.it; http://www.amthewinersclub.com",
"Rose d'autunno","Paestum","Rosato","Alfonso Rotolo","l naso il vino sprigiona nuances di terriccio, humus, radici, lamponi, ciliegie e melograno. In bocca il sorso è suadente, morbido, sapido, fresco, fruttato, floreale, elegante e polposo. Il finale è molto gradevole, pieno, avviluppante e fragrante. Retrogusto reattivo ed appagante.","100% Aglianico","14%","I.G.T.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","https://gustacilento.it/it/ ; www.lucianopignataro.it",
"Le Ghiandaie","Cilento","Rosso","Alfonso Rotolo","Colore vivacemente rubino. Note di sottobosco, di fiori appassiti e di spezie. Bocca piena, voluminosa ed opulenta, sostenuta da vibrazioni godibilmente fresche e sapide e con rimandi ancora fruttati e floreali. Persistente retrogusto.","100% Aglianico","14%","D.O.C.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","https://gustacilento.it/it/ ; www.lucianopignataro.it",
"Valentina","Paestum","Bianco","Alfonso Rotolo","Colore paglierino intenso e carico. Risaltano odorosi sentori di agrumi, acacia, fiori bianchi e vegetali. In bocca il sorso è morbido, disteso, dinamico, slanciato, sapido, minerale, speziato e con sottofondo tostato, vanigliato con note di idrocarburi dopo qualche anno. Persistente e godibile finale.","100% Fiano","14%","I.G.T.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","https://gustacilento.it/it/ ; www.lucianopignataro.it",
"San Matteo","Paestum","Bianco","Alfonso Rotolo","Colore giallo paglierino vivace e lucente. Profilo aromatico fitto di nuances godibilmente fruttate, floreali ed erbacee, in cui predominano essenze di biancospino, ginestra, agrumi, pesca e macchia mediterranea. Palato nitido, fresco e felpato, con rimembranze già percepite al naso.","100% Fiano","13,5%","I.G.T.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","https://gustacilento.it/it/ ; www.lucianopignataro.it",
"Passula","Paestum","Bianco","Alfonso Rotolo","Vino passito. Bel colore dorato, quasi ambrato, con riflessi aranciati. Inebrianti profumi di fichi secchi, mandorle, uva passa, albicocca, pesca gialla, erbe selvatiche e camomilla. In bocca si sente la dolcezza mielosa, ma non è affatto stucchevole, perché il vino è sorretto da un’ottima acidità. Vezzi ancora fruttati e floreali sul palato, per un vino snello, vellutato, equilibrato, sapido ed elegante. Dolce e lunga persistenza finale.","Moscato; Malvasia","","I.G.T.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","https://gustacilento.it/it/ ; www.lucianopignataro.it",
"Urmi","Cilento","Rosso","Alfonso Rotolo","Colore leggermente più chiaro rispetto a Le Ghiandaie e al gusto il vino è sicuramente più morbido e beverino. Il bouquet è fresco e mediterraneo, in cui primeggiano toni fruttati, floreali e salmastri. In bocca il sorso è gradevole, intrigante ed ancora fruttato.","80% Aglianico; 20% Piedirosso","14%","D.O.C.","Via San Cesareo, 18","Rutino","Salerno","40.300380, 15.071797","http://www.alfonsorotolo.it/","0974 83005","https://gustacilento.it/it/ ; www.lucianopignataro.it",
"Campole","Campania","Rosso","Alois","Un rosso luminoso, offre un aroma profondamente speziato con note di frutta scura. Succulento, presenta sentori di ribes e spezie, note scure sul finale fresco.","100% Aglianico","13%","I.G.T.","Via Ragazzano, Loc. Audelino","Pontelatone","Caserta","41.197169, 14.235602","http://www.vinialois.it/alois/","0823 87 67 10","",
"Cunto","Terre del Volturno","Rosso","Alois","Un rosso dalla luminosità scintillante, che vanta sapori minerali sul finale lungo e costante. Un terroso piacevole esalta il fruttato con sentori di nucleo di ciliegia e mora in questo rosso lineare.","100% Pallagrello Nero","13%","I.G.T.","Via Ragazzano, Loc. Audelino","Pontelatone","Caserta","41.197169, 14.235602","http://www.vinialois.it/alois/","0823 87 67 10","",
"Settimo","Terre del Volturno","Rosso","Alois","Il carattere di ciliegia si sposa a moderati tannini con intensità buona e fresca sul lungo finale. Rosso chiaro.","Pallagrello Nero; Casavecchia","13%","I.G.T.","Via Ragazzano, Loc. Audelino","Pontelatone","Caserta","41.197169, 14.235602","http://www.vinialois.it/alois/","0823 87 67 10","",
"Caiatì","Terre del Volturno","Bianco","Alois","Un vino sapido, sentori di mandorle bianche, cera d’api e note di sottobosco, moderatamente fruttato di carambola (frutto stella)  e melone. Note di pompelmo sul lungo finale.","100% Pallagrello Bianco","13,5%","I.G.T.","Via Ragazzano, Loc. Audelino","Pontelatone","Caserta","41.197169, 14.235602","http://www.vinialois.it/alois/","0823 87 67 10","",
"Caulino","Campania","Bianco","Alois","Minerale e luminoso, con una vivace acidità, poi mela appena tagliata, pera e sapori di agrumi maturi. Il finale di questo vino bianco di colore giallo-verde è pieno di freschezza coinvolgente.","100% Falanghina","13%","I.G.T.","Via Ragazzano, Loc. Audelino","Pontelatone","Caserta","41.197169, 14.235602","http://www.vinialois.it/alois/","0823 87 67 10","",
"Trebulanum","Terre del Volturno","Rosso","Alois","Ricco ed esuberante rosso.","100% Casavecchia","13%","I.G.T.","Via Ragazzano, Loc. Audelino","Pontelatone","Caserta","41.197169, 14.235602","http://www.vinialois.it/alois/","0823 87 67 10","",
"Nadhir","Terre del Volturno","Rosato","Alois","Di medio corpo, rosato vibrante, deciso, sapori freschi di pero e ciliegio selvatico. Sentori erbacei conferiscono buona persistenza sul finale.","100% Casavecchia","12,5%","I.G.T.","Via Ragazzano, Loc. Audelino","Pontelatone","Caserta","41.197169, 14.235602","http://www.vinialois.it/alois/","0823 87 67 10","",
"Malambruno","Irpinia Campi Taurasini","Rosso","Amarano","Ha un colore rosso rubino, un profumo intenso e speziato, in grado di evolvere nel tempo verso svariate sensazioni olfattive. Al gusto è fresco e strutturato, caratteristiche che lo rendono un vino molto longevo.","100% Aglianico","","D.O.C.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Lucinda","Campania","Bianco","Amarano","Ha un colore giallo paglierino.È un vino dal profumo fragrante di frutta bianca.Al palato ha buona struttura e piacevolissima sapidità.","100% Coda di Volpe","","I.G.T.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Principe Lagonessa","Taurasi","Rosso","Amarano","Ha un colore rosso rubino caricocon sentori speziati di pepe, amarenaed eleganti sfumature  balsamiche.La vendemmia tardiva ed il successivo affinamento, danno origine ad un vino molto strutturato, dotato di una notevole complessità aromatica.","100% Aglianico","","D.O.C.G.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"RossoMalpelo","Campania","Rosso","Amarano","Ha un colore rosso rubino, un profumo intenso. Al gusto è fresco e armonico.","100% Aglianico","","I.G.T.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Cardenio","Greco di Tufo","Bianco","Amarano","Ha un colore giallo paglierinopiú o meno intenso, al gusto è sapidoe di buona persistenza.Il profumo è minerale, fruttato.Con l'invecchiamento puó acquisire notedi frutta secca.","100% Greco di Tufo","","D.O.C.G.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Dulcinea","Fiano di Avellino","Bianco","Amarano","Colore giallo paglierino.Sapore intenso, elegante e strutturato,dotato di un patrimonio aromatico terziarioche lo rende molto interessante soprattuttocon l'invecchiamento.","100% Fiano","","D.O.C.G.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Perdono","Taurasi","Rosso","Antica Hirpinia","Colore rosso dai riflessi aranciati, profumo intenso di ciliegie con sentori di spezie.","","","D.O.C.G.","Contrada Lenze, 10","Taurasi","Avellino","41.024416, 14.953541","http://www.anticahirpinia.it/","0827 74730","http://wonderfud.it/en/companies/antica-hirpinia/",
"Taurasi Riserva","Taurasi","Rosso","Antica Hirpinia","","100% Aglianico","13%","D.O.C.G.","Contrada Lenze, 10","Taurasi","Avellino","41.024416, 14.953541","http://www.anticahirpinia.it/","0827 74730","http://www.vidivini.it/027.001.html",
"Tenebrae","Irpinia","Rosso","Antica Hirpinia","Colore rosso rubino, intenso e persistente, dal sapore asciutto e armonico.","","","D.O.C.","Contrada Lenze, 10","Taurasi","Avellino","41.024416, 14.953541","http://www.anticahirpinia.it/","0827 74730","http://wonderfud.it/en/companies/antica-hirpinia/",
"Licori","Campania","Bianco","Antica Hirpinia","Colore giallo paglierino, elegante, intenso, con sentori di frutta secca tropicale, sapore armonioso","","","I.G.T.","Contrada Lenze, 10","Taurasi","Avellino","41.024416, 14.953541","http://www.anticahirpinia.it/","0827 74730","http://wonderfud.it/en/companies/antica-hirpinia/",
"Aminta","Irpinia","Bianco","Antica Hirpinia","Vino secco, elegante e armonioso, dal colore giallo con riflessi verdognoli.","","","D.O.C.","Contrada Lenze, 10","Taurasi","Avellino","41.024416, 14.953541","http://www.anticahirpinia.it/","0827 74730","http://wonderfud.it/en/companies/antica-hirpinia/",
"Liber","Fiano di Avellino","Bianco","Antica Hirpinia","Colore giallo paglierino, profumo di nocciole tostate","","","D.O.C.G.","Contrada Lenze, 10","Taurasi","Avellino","41.024416, 14.953541","http://www.anticahirpinia.it/","0827 74730","http://wonderfud.it/en/companies/antica-hirpinia/",
"Sacrarum","Greco di Tufo","Bianco","Antica Hirpinia","Colore bianco con una reminiscenza di odore di pesca, mela cotogna e fiori di campo","","","D.O.C.G.","Contrada Lenze, 10","Taurasi","Avellino","41.024416, 14.953541","http://www.anticahirpinia.it/","0827 74730","http://wonderfud.it/en/companies/antica-hirpinia/",
"Barbetta","Sannio","Rosso","Antica Masseria Venditti","Si presenta colore rosso rubino carico con riflessi violacei. Al naso è fruttato con sentori di marasca, frutti di bosco e viola. Al palato risulta secco, morbido, di corpo e persistente.","100% Barbera","","D.O.C.","Via Nazionale Sannitica 120","Castelvenere","Benevento","41.236425, 14.550229","http://www.venditti.it/home.asp?hl=it","0824 940306","",
"Vàndari","Sannio","Bianco","Antica Masseria Venditti","Si presenta colore giallo paglierino, di buona fluidità. I profumi sono fragranti, floreali e fruttati. Si ravvisano mela verde e banana. Al gusto è secco, di buona acidità, di notevole intensità.","100% Falanghina","","D.O.C.","Via Nazionale Sannitica 120","Castelvenere","Benevento","41.236425, 14.550229","http://www.venditti.it/home.asp?hl=it","0824 940306","",
"Bosco Caldaia","Falanghina del Sannio","Rosso","Antica Masseria Venditti","Si presenta colore rosso rubino tendente al granato. I profumi intensi, persistenti e fini sono fruttati, speziati, eterei. Si ravvisano frutti di bosco, viola, tabacco.","Aglianico; Montepulciano; Piedirosso; cloni autoctoni","","D.O.C.","Via Nazionale Sannitica 120","Castelvenere","Benevento","41.236425, 14.550229","http://www.venditti.it/home.asp?hl=it","0824 940306","",
"Marraioli","Sannio","Rosso","Antica Masseria Venditti","Si presenta colore rosso porpora di ottima consistenza. I profumi di notevole intensità sono fruttati, floreali, speziati, eterei. Si ravvisano frutti di bosco, noce, viola, tabacco, spezie.","100% Aglianico","","D.O.C.","Via Nazionale Sannitica 120","Castelvenere","Benevento","41.236425, 14.550229","http://www.venditti.it/home.asp?hl=it","0824 940306","",
"Masseria Venditti","Sannio","Bianco","Antica Masseria Venditti","Colore giallo paglierino con riflessi verdolini, si presenta al naso intenso, fine, fruttato; con sentore di crosta di pane, passiflora ed ananas.","Grieco di Castelvenere; Cerreto; cloni autoctoni","","D.O.C.","Via Nazionale Sannitica 120","Castelvenere","Benevento","41.236425, 14.550229","http://www.venditti.it/home.asp?hl=it","0824 940306","",
"Masseria Venditti","Sannio","Rosso","Antica Masseria Venditti","Colore rosso rubino, si presenta al naso intenso, fine, fruttato, vinoso, con sentori di mora, gelso rosso.","Montepulciano; Olivella; Aglianico; cloni autoctoni","","D.O.C.","Via Nazionale Sannitica 120","Castelvenere","Benevento","41.236425, 14.550229","http://www.venditti.it/home.asp?hl=it","0824 940306","",
"Bacalàt","Falanghina del Sannio","Bianco","Antica Masseria Venditti","Si presenta colore giallo paglierino con riflessi verdolini. I profumi sono ampi andando dal fruttato all'erbaceo.","Falanghina; Grieco di Castelvenere; Cerreto; cloni autoctoni","","D.O.C.","Via Nazionale Sannitica 120","Castelvenere","Benevento","41.236425, 14.550229","http://www.venditti.it/home.asp?hl=it","0824 940306","",
"Greco di Tufo","Greco di Tufo","Bianco","Antico Borgo","Di colore bianco paglierino con profumi che ricordano la pesca, la mela cotogna e il floreale della ginestra. Dal sapore gradevole di amaro mandorlato.","100% Greco","","D.O.C.G.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Taurasi","Taurasi","Rosso","Antico Borgo","Si presenta di colore rosso con riflessi arancioni Bouquet intenso di marasca e viola con sentori di spezie e sottobosco. Dal sapore pieno, corposo, leggermente tannico.","100% Aglianico","","D.O.C.G.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Coda di Volpe","Campania","Bianco","Antico Borgo","Di colore giallo paglierino dal bouquet elegante, intenso, con sentori di frutta esotica dal sapore secco e armonico.","100% Coda di Volpe","","I.G.T.","Via Dante, 20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Irpinia Aglianico","Irpinia","Rosso","Antico Borgo","Si presenta di colore rosso rubino, profumo intenso per-sistente, sapore secco armonico.","100% Aglianico","","D.O.C.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Antico Borgo","Di colore giallo paglierino sbiadito, odore gradevole dal sapore dell’inconfondibile sentore di nocciole tostate.","100% Fiano","","D.O.C.G.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Aglianico","Campania","Rosso","Antico Borgo","Di colore rosso rubino ha un corpo pieno e vellutato, leggermente tannico, un bouquet caratterizzato da un profumo intenso di frutti di bosco e amarena.","100% Aglianico","","I.G.T.","Via Dante, 20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Irpinia Campi Taurasini","Irpinia Campi Taurasini","Rosso","Antico Borgo","Invecchiato in botti di rovere per 12 mesi, acquisisce un gusto armonico e vellutato.","100% Aglianico","","D.O.C.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Beneventano Falanghina","Beneventano","Bianco","Antico Borgo","Vino bianco secco, elegante ed armonioso dal colore giallo paglierino con riflessi verdognoli e dal delicato profumo, ottenuto da uve seleziona-te dall’omonimo vitigno.","100% Falanghina","","I.G.T.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Irpinia Falanghina","Irpinia","Bianco","Antico Castello","Colore giallo paglierino tenue con riflessi verdolini, profumo floreale di biancospino e di frutta a polpa bianca. Vino secco, caldo, vivace e ben equilibrato.","100% Falanghina","","D.O.P.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","",
"Irpinia Greco","Irpinia","Bianco","Antico Castello","Colore giallo paglierino con riflessi dorati, profumo intenso fruttato di agrumi e mela verde. Vino secco, fresco, sapido, ben strutturato e persistente.","100% Greco","","D.O.P.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","",
"Taurasi","Taurasi","Rosso","Antico Castello","Colore rosso rubino, profumi di frutti di sottobosco e cannella. Gusto avvolgente e vellutato, secco e caldo, morbido e tannico, esprime la potenza della sua struttura.","100% Aglianico","14%","D.O.C.G.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","www.lavinium.com",
"Irpinia Fiano","Irpinia","Bianco","Antico Castello","Colore giallo paglierino, intensi profumi floreali con sentori di ananas e banana. Al gusto si presenta fresco, secco, morbido e con una lunga persistenza.","100% Fiano","","D.O.P.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","",
"Magis Irpinia Aglianico","Irpinia","Rosso","Antico Castello","Colore rosso rubino, profumo complesso di maresca, more e pepe nero. Al gusto si presenta secco, caldo, ben strutturato, equilibrato e giustamente tannico.","100% Aglianico","14%","D.O.P.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","www.lavinium.com",
