"Vino","Denominazione","Colore","Tipologia","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Dulcinea","Fiano di Avellino","Bianco","Fiano di Avellino","Amarano","Colore giallo paglierino.Sapore intenso, elegante e strutturato,dotato di un patrimonio aromatico terziarioche lo rende molto interessante soprattuttocon l'invecchiamento.","100% Fiano","","D.O.C.G.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"RossoMalpelo","Campania","Rosso","Aglianico","Amarano","Ha un colore rosso rubino, un profumo intenso. Al gusto è fresco e armonico.","100% Aglianico","","I.G.T.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Malambruno","Irpinia Campi Taurasini","Rosso","","Amarano","Ha un colore rosso rubino, un profumo intenso e speziato, in grado di evolvere nel tempo verso svariate sensazioni olfattive. Al gusto è fresco e strutturato, caratteristiche che lo rendono un vino molto longevo.","100% Aglianico","","D.O.C.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Principe Lagonessa","Taurasi","Rosso","Taurasi","Amarano","Ha un colore rosso rubino caricocon sentori speziati di pepe, amarenaed eleganti sfumature  balsamiche.La vendemmia tardiva ed il successivo affinamento, danno origine ad un vino molto strutturato, dotato di una notevole complessità aromatica.","100% Aglianico","","D.O.C.G.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Lucinda","Campania","Bianco","Coda di Volpe","Amarano","Ha un colore giallo paglierino.È un vino dal profumo fragrante di frutta bianca.Al palato ha buona struttura e piacevolissima sapidità.","100% Coda di Volpe","","I.G.T.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Cardenio","Greco di Tufo","Bianco","Greco di Tufo","Amarano","Ha un colore giallo paglierinopiú o meno intenso, al gusto è sapidoe di buona persistenza.Il profumo è minerale, fruttato.Con l'invecchiamento puó acquisire notedi frutta secca.","100% Greco di Tufo","","D.O.C.G.","c.da Torre, 32","Montemarano","Avellino","40.916048, 14.998522","http://www.amarano.it/","0827 63351","",
"Beneventano Falanghina","Beneventano","Bianco","Falanghina","Antico Borgo","Vino bianco secco, elegante ed armonioso dal colore giallo paglierino con riflessi verdognoli e dal delicato profumo, ottenuto da uve seleziona-te dall’omonimo vitigno.","100% Falanghina","","I.G.T.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Antico Borgo","Di colore bianco paglierino con profumi che ricordano la pesca, la mela cotogna e il floreale della ginestra. Dal sapore gradevole di amaro mandorlato.","100% Greco","","D.O.C.G.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Irpinia Campi Taurasini","Irpinia Campi Taurasini","Rosso","","Antico Borgo","Invecchiato in botti di rovere per 12 mesi, acquisisce un gusto armonico e vellutato.","100% Aglianico","","D.O.C.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Taurasi","Taurasi","Rosso","Taurasi Riserva","Antico Borgo","Si presenta di colore rosso con riflessi arancioni Bouquet intenso di marasca e viola con sentori di spezie e sottobosco. Dal sapore pieno, corposo, leggermente tannico.","100% Aglianico","","D.O.C.G.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Coda di Volpe","Campania","Bianco","Coda di Volpe","Antico Borgo","Di colore giallo paglierino dal bouquet elegante, intenso, con sentori di frutta esotica dal sapore secco e armonico.","100% Coda di Volpe","","I.G.T.","Via Dante, 20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Antico Borgo","Di colore giallo paglierino sbiadito, odore gradevole dal sapore dell’inconfondibile sentore di nocciole tostate.","100% Fiano","","D.O.C.G.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Aglianico","Campania","Rosso","Aglianico","Antico Borgo","Di colore rosso rubino ha un corpo pieno e vellutato, leggermente tannico, un bouquet caratterizzato da un profumo intenso di frutti di bosco e amarena.","100% Aglianico","","I.G.T.","Via Dante, 20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Irpinia Aglianico","Irpinia","Rosso","Aglianico","Antico Borgo","Si presenta di colore rosso rubino, profumo intenso per-sistente, sapore secco armonico.","100% Aglianico","","D.O.C.","Via Dante,20","Taurasi","Avellino","41.010741, 14.956603","http://www.cantineanticoborgo.it/","0827 74699","",
"Irpinia Falanghina","Irpinia","Bianco","Falanghina","Antico Castello","Colore giallo paglierino tenue con riflessi verdolini, profumo floreale di biancospino e di frutta a polpa bianca. Vino secco, caldo, vivace e ben equilibrato.","100% Falanghina","","D.O.P.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","",
"Taurasi","Taurasi","Rosso","Taurasi","Antico Castello","Colore rosso rubino, profumi di frutti di sottobosco e cannella. Gusto avvolgente e vellutato, secco e caldo, morbido e tannico, esprime la potenza della sua struttura.","100% Aglianico","","D.O.C.G.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","",
"Magis Irpinia Aglianico","Irpinia","Rosso","Aglianico","Antico Castello","Colore rosso rubino, profumo complesso di maresca, more e pepe nero. Al gusto si presenta secco, caldo, ben strutturato, equilibrato e giustamente tannico.","100% Aglianico","","D.O.P.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","",
"Irpinia Fiano","Irpinia","Bianco","Fiano","Antico Castello","Colore giallo paglierino, intensi profumi floreali con sentori di ananas e banana. Al gusto si presenta fresco, secco, morbido e con una lunga persistenza.","100% Fiano","","D.O.P.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","",
"Irpinia Greco","Irpinia","Bianco","Greco","Antico Castello","Colore giallo paglierino con riflessi dorati, profumo intenso fruttato di agrumi e mela verde. Vino secco, fresco, sapido, ben strutturato e persistente.","100% Greco","","D.O.P.","C/da Poppano n. 11 bis","San Mango sul Calore","Avellino","40.959183, 14.973723","http://www.anticocastello.com","0825 610384","",
"Per'e palummo","Ischia","Rosso","Piedirosso","Antonio Mazzella","Colore rosso rubino intenso. Profumo	caratteristico di violetta. Gusto asciutto, giustamente tannico.","100% Piedirosso","","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Sygnum","Epomeo","Bianco","Passito","Antonio Mazzella","Colore giallo ambrato lucente.Dopo le prime intense note di albicocca e pesca, i profumi si rincorrono tra sensazioni dolci di fichi secchi e miele, erbe aromatiche e ginestra. Gusto impressiona per la complessità e per la lunghezza finale con ritorno armonico dei profumi.","Biancolella; Forastera; Vitigni Autoctoni","14,5%","I.G.T.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Villa Campagnano Spumante","Vino Spumante","Bianco","Extra Dry","Antonio Mazzella","Colore giallo paglierino scarico. Profumo	 intenso di frutta esotica, con un pizzico di spezia e un gradevole floreale. Gusto corpo ricco, rotondo e fresco, di bella struttura, di retrogusto persistente nella nota aromatica. Perlage fine e persistente.","","","V.S.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Biancolella","Ischia","Bianco","Biancolella","Antonio Mazzella","Colore giallo paglierino. Profumo floreale con sfumature di banana. Gusto fresco, delicato, leggermente sapido, di giusto corpo.","100% Biancolella","12%","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Vigna del Lume","Ischia","Bianco","Biancolella","Antonio Mazzella","Colore giallo paglierino. Profumo floreale e di frutta quasi matura. Gusto fresco, delicato, leggermente sapido.","100% Biancolella","","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Forastera","Ischia","Bianco","Forastera","Antonio Mazzella","Colore giallo paglierino scarico. Profumo vinoso, con sentori erbacei. Gusto fresco, minerale, di giusta sapietà.","85% Forastera; 15% Vitigni Autoctoni","","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Ischia Rosso","Ischia","Rosso","","Antonio Mazzella","Colore rubino più o meno intenso. Profumo vinoso con sentore di frutta rossa appena raccolta. Gusto asciutto, giustamente tannico.","Guarnaccia; Piedirosso","","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Villa Campagnano","Ischia","Bianco","Superiore","Antonio Mazzella","Colore giallo dorato. Profumo complesso che evoca la mandorla, la pera appena matura e la frutta sotto spirito. Gusto piacevole e persistente seduce il palato con la morbidezza ed una invitante e fresca nota acida, che lo rende un bianco di eccellente bevibilità.","50% Biancolella; 50% Forastera","13%","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Ischia Bianco","Ischia","Bianco","","Antonio Mazzella","Colore giallo paglierino scarico. Profumo vinoso, con sentori erbacei. Gusto fresco, minerale, di giusta sapidità.","85% Forastera; 15% Vitigni Autoctoni","","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Vigna di Levante","Ischia","Rosso","","Antonio Mazzella","Colore rosso intenso. Profumo	con sentori di frutta rossa con leggere sfumature di speziato. Gusto secco, giustamente tannico.","85% Piedirosso; 15% Aglianico","","D.O.C.","Via Serbatorio 2","Ischia, Fraz. Campagnano","Napoli","40.719424, 13.953070","http://www.ischiavini.it/","081 901541","",
"Lacryma Christi Bianco","Vesuvio","Bianco","Lacryma Christi","Azienda Agricola Ametrano","Il suo sapore inconfondibile, pieno e morbido, è ottenuto con la sapiente miscela di uve selezionate Coda di Volpe e Falanghina coltivate sui declivi del vulcano. Vino di grande versatilità e di facile abbinamento, ha colore giallo paglierino e profumo lieve che ricorda fiori di ginestra e frutti maturi.","90% Coda di Volpe; 10% Falanghina","12-14%","D.O.C.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Piedirosso Pompeiano","Pompeiano","Rosso","Piedirosso","Azienda Agricola Ametrano","Il Piedirosso Pompeiano è un vino dal gusto armonico e corposo, ottenuto con uve piedirosso coltivate sui declivi del Vesuvio. Di colore rosso rubino e profumo intenso e fruttato, ha un sapore che ricorda frutti rossi maturi e prugna, con lievi sentori di tabacco, caffè e spezie.","100% Piedirosso","12-14%","I.G.T.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Falanghina Pompeiano","Pompeiano","Bianco","Falanghina","Azienda Agricola Ametrano","Vino bianco di colore giallo paglierino chiaro, all’olfatto presenta una buona intensità aromatica, aggressiva ma piacevole, con spiccate note di mela verde, ananas acerbo e bergamotto. Il sapore secco, ben strutturato ed il profumo gradevole, armonico e fine lo rende un vino molto equilibrato e versatile.","100% Falanghina","12-14%","I.G.T.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Aglianico Pompeiano","Pompeiano","Ross","Aglianico","Azienda Agricola Ametrano","Di colore rubino, che vira all’aranciato nell’invecchiamento, ha profumo intenso, invitante e asciutto, con persistenti aromi di frutti selvatici. Il suo gusto è gradevole e leggermente tannico.","100% Aglianico","12-14%","I.G.T.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Lacryma Christi Rosato","Vesuvio","Rosato","Lacryma Christi","Azienda Agricola Ametrano","Vino fragrante dal sapore inconfondibile, accoppia in sé la freschezza dei bianco e la giusta corposità del rosso giovane. Il suo profumo intenso e gradevole ricorda la ginestra e la zagara. Dal sapore asciutto e armonico e profumo molto intenso e gradevole.","90% Piedirosso; 10 Aglianico","12-14%","D.O.C.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Lacryma Christi Rosso","Vesuvio","Rosso","Lacryma Christi","Azienda Agricola Ametrano","Il suo colore, rubino intenso, presenta riflessi violacei ed il profumo ricorda la violetta e fiori di mammola, cui si accompagnano note di liquirizia e legni nobili. Ha gusto gradevole, di grande struttura e morbidezza.","80% Piedirosso; 20% Aglianico","12-14%","D.O.C.","Via Gioacchino Murat, 21","Torre Annunziata","Napoli","40.756583, 14.452978","http://www.ametrano.it/","081 8622873","",
"Iovi Tonant","Aglianico del Taburno","Rosso","Aglianico","Azienda Vitivinicola Masseria Frattasi","Rosso con riflessi viola. Profumi inebrianti di more selvatiche, mirtilli, confetture di prugne rosse. Denso, polposo, lungamente persistente. Freschezza mentolata e note balsamiche di liquirizia.","100% Aglianico","14%","D.O.C.G.","Via Torre di Varoni, 15","Montesarchio","Benevento","41.071918, 14.628821","http://www.masseriafrattasi.it","0823 797879","http://www.agricoltura.regione.campania.it/viticoltura/disciplinari/DOCG_Aglianico_Taburno.pdf;",
"Saul","Falerno del Massico","Rosso","Riserva","Bianchini Rossetti","Colore impenetrabile dai riflessi bluastri, l'imprinting è decisamente fruttato, di quelli rossi e neri maturi,polposi e dolci. Nitidamente si sovrappongono ciliegia, amarena, mirtillo, poi note appena tostate, balsamiche, fini e gradevolissime. Sul finale una nota di liquirizia e tabacco. In bocca avvolge da subito il palato con una trama di frutto intensa e persistente, quasi masticabile, lunga e godibile sino alla deglutizione; Richiama subito un secondo sorso, di tannino solo una labile e gradevole percezione, sottile, solleticante, alla mercè di una freschezza tangibile  e piacevole sino ad una cortese sapidità.","80% Aglianico; 20% Piedirosso","14%","D.O.C.","Via Ten. Trabucco","Casale di Carinola","Caserta","41.219226, 14.004146","http://www.bianchinirossetti.com","0823 709187","",
"Mille880 Bianco","Falerno del Massico","Bianco","","Bianchini Rossetti","Colore giallo paglierino con riflessi verdognoli, al naso spiccano note di frutta fresca, il gusto è caratterizzato da un'acidità e da una tipica sapidità.","100% Falanghina","13-14%","D.O.C.","Via Ten. Trabucco","Casale di Carinola","Caserta","41.219226, 14.004146","http://www.bianchinirossetti.com","0823 709187","",
"Mille880 Rosso","Falerno del Massico","Rosso","","Bianchini Rossetti","Colore rosso rubino con riflessi purpurei,con sentori di sottobosco e frutta rossa matura. Al palato ben strutturato di corpo con una buona persistenza finale.","80% Aglianico; 20% Piedirosso","13,5-14%","D.O.C.","Via Ten. Trabucco","Casale di Carinola","Caserta","41.219226, 14.004146","http://www.bianchinirossetti.com","0823 709187","",
"Mille880 Rosé","Campania","Rosato","","Bianchini Rossetti","Colore rosso rubino scarico con riflessi cipolla, al naso spiccano note floreali, il gusto è caratterizzato da una acidità sostenuta e da una buona persistenza.","100% Aglianico","13-14%","I.G.T.","Via Ten. Trabucco","Casale di Carinola","Caserta","41.219226, 14.004146","http://www.bianchinirossetti.com","0823 709187","",
"Fiano Sannio","Sannio","Bianco","Fiano","Ca' Stelle","Colore giallo paglierino, cristallino, profumi di salvia e pesca bianca; al palato è fine, pieno ed appagante. Sapido, fresco, con note floreali e mentolate.","100% Fiano","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Falanghina Passito","","Bianco","Falanghina Passito","Ca' Stelle","Colore giallo dorato con nuances particolarmente calde, profumo intenso, elegante e persistente, con sentori di confettura, miele e frutta candita, gusto dolce, caldo di alcol, morbido, di buona struttura e persistenza, grande spessore gustativo; il finale e molto lungo con notevole rispondenza gusto/olfattivo.","100% Falanghina","14,5%","","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Greco Sannio","Sannio","Bianco","Greco","Ca' Stelle","Colore giallo paglierino con riflessi dorati; note di mela e gelsomino, al palato è pieno con finale lungo e persistente, di piacevole acidità e di buona struttura.","100% Greco","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Falanghina del Sannio","Falanghina del Sannio","Bianco","Falanghina","Ca' Stelle","Colore giallo paglierino con riflessi verdolini, cristallino. Profumi intensi di frutta a polpa bianca e sentori di fiori bianchi. Gusto equilibrato tra sensazioni morbide e leggermente acide. Di buon corpo e buona persistenza.","100% Falanghina","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Falanghina Spumante Brut","Vino Spumante","Bianco","Brut","Ca' Stelle","Giallo paglierino, brillante con perlage sottile e persistente. Profumo ricco e persistente, con note fruttate e floreali, tenui aromi di lieviti e crosta di pane. Sapore secco, con piacevole e decisa nota fruttata e fresco di acidità. Equilibrato.","100% Falanghina","12,5%","V.S.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Barbera Sannio","Sannio","Rosso","Barbera","Ca' Stelle","Colore rosso rubino, limpido e consitente; profumi intensi di frutti rossi; gusto secco, buona alcolicita ed equilibrata tannicita, morbido e persistente, di buona struttura.","100% Barbera","14%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Aglianico Rosato Sannio","Sannio","Rosato","Aglianico","Ca' Stelle","Colore rosso cerasuolo; profumo fruttato, intenso e fine, con note minerali finali; gusto secco, morbido e persistente, di piacevole acidità e discreta struttura.","100% Aglianico","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Kydonia","Falanghina del Sannio","Bianco","Falanghina","Ca' Stelle","Colore giallo paglierino con riflessi dorati, cristallino; profumi intensi e complessi di frutta a polpa gialla e arancione, sentori di miele e vaniglia; gusto morbido e caldo, di grande struttura, equilibrato e con buona persistenza gusto-olfattiva.","100% Falanghina","13,5%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Falanghina Benevento","Beneventano","Bianco","Falanghina","Ca' Stelle","Colore giallo paglierino con riflessi verdolini, cristallino. Profumi intensi di fiori bianchi. Gusto equilibrato tra sensazioni morbide e leggermente acide. Di buon corpo e buona persistenza.","85% Falanghina; 15% Cloni locali a bacca bianca","13%","I.G.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Propileo","Sannio","Rosso","Aglianico","Ca' Stelle","Colore rosso rubino, limpido e consitente; profumi intensi e complessi di frutti rossi, sentori speziati di pepe nero e chiodi di garofano, tostati di caffe e cacao; gusto secco, di buona alcolicita ed equilibrata tannicita, morbido e persistente, di grande struttura.","100% Aglianico","14%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Aglianico Beneventano","Beneventano","Rosso","Aglianico","Ca' Stelle","Colore rosso rubino, limpido e consitente; profumi intensi di frutti rossi; gusto secco, buona alcolicita ed equilibrata tannicita, morbido e persistente, di buona struttura.","85% Aglianico; 15% Cloni locali a bacca rossa","13%","I.G.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Aglianico Sannio","Sannio","Rosso","Aglianico","Ca' Stelle","Colore rosso rubino, limpido e consitente; profumi intensi e complessi di frutti rossi, sentori speziati di pepe nero e chiodi di garofano; gusto secco, buona alcolicita ed equilibrata tannicita, morbido e persistente, di buona struttura.","100% Aglianico","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"","","","","Cantina Giardino","","","","","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/",825.873084,"",
